;nombre;sexo;cuenta
173024;Zachary;M;12282
140622;Jose;M;12177
17688;Jordan;M;12166
47765;Thomas;M;12145
47766;Jose;M;12137
78140;Noah;M;12066
173025;Jose;M;12063
78141;Gabriel;M;12052
78142;Kevin;M;12043
78143;Robert;M;12024
17689;Kyle;M;11968
140623;Noah;M;11901
140624;Justin;M;11873
109047;Noah;M;11834
109048;Kevin;M;11728
140625;Elijah;M;11704
109049;Austin;M;11687
78144;Caleb;M;11657
109050;Caleb;M;11637
173026;Elijah;M;11605
47767;Cameron;M;11583
140626;Gabriel;M;11553
109051;Robert;M;11391
47768;Hunter;M;11334
140627;Caleb;M;11297
78145;Thomas;M;11291
140628;Kevin;M;11217
47769;Caleb;M;11173
78146;Jordan;M;11145
78147;Hunter;M;11083
173027;Angel;M;10981
109052;Thomas;M;10931
47770;Gabriel;M;10913
173028;Kevin;M;10907
173029;Jack;M;10903
173030;Caleb;M;10889
47771;Jordan;M;10811
140629;Austin;M;10744
140630;Robert;M;10675
109053;Elijah;M;10658
47772;Kyle;M;10568
173031;Justin;M;10508
140631;Thomas;M;10497
78148;Cameron;M;10336
109054;Jordan;M;10327
47773;Jason;M;10162
173032;Robert;M;10156
173033;Austin;M;10111
173034;Evan;M;10104
109055;Aidan;M;10062
78149;Kyle;M;10060
78150;Elijah;M;10050
140632;Connor;M;10047
173035;Thomas;M;10036
173036;Luke;M;10003
140633;Evan;M;9978
109056;Cameron;M;9961
78151;Jason;M;9953
109057;Hunter;M;9900
17690;Caleb;M;9863
140634;Aidan;M;9820
109058;Jason;M;9819
17691;Jason;M;9771
173037;Mason;M;9766
173038;Aidan;M;9758
17692;Logan;M;9737
109059;Connor;M;9669
140635;Luke;M;9592
173039;Jackson;M;9579
140636;Jack;M;9578
140637;Jordan;M;9552
17693;Aaron;M;9551
47774;Aaron;M;9534
173040;Isaiah;M;9517
140638;Angel;M;9508
109060;Evan;M;9442
173041;Jordan;M;9391
173042;Gavin;M;9336
173043;Connor;M;9318
109061;Jack;M;9316
109062;Luke;M;9298
140639;Isaiah;M;9254
140640;Isaac;M;9174
17694;Eric;M;9155
109063;Angel;M;9154
173044;Isaac;M;9118
173045;Aiden;M;9081
140641;Jason;M;9059
78152;Aaron;M;9001
78153;Jack;M;8997
140642;Jackson;M;8976
78154;Isaiah;M;8960
17695;Brian;M;8958
109064;Isaac;M;8934
140643;Hunter;M;8900
109065;Isaiah;M;8890
140644;Cameron;M;8882
109066;Aaron;M;8862
109067;Gavin;M;8761
109068;Jackson;M;8712
78155;Luke;M;8692
17696;Gabriel;M;8677
109069;Kyle;M;8649
140645;Mason;M;8617
173046;Jason;M;8609
140646;Gavin;M;8607
47775;Isaiah;M;8580
173047;Cameron;M;8568
47776;Eric;M;8559
173048;Hunter;M;8508
78156;Connor;M;8410
140647;Aaron;M;8388
47777;Elijah;M;8335
78157;Isaac;M;8305
47778;Brian;M;8298
173049;Jayden;M;8255
173050;Juan;M;8227
47779;Isaac;M;8196
78158;Angel;M;8185
78159;Jackson;M;8152
47780;Jack;M;8148
17697;Adam;M;8133
140648;Juan;M;8125
17698;Jack;M;8121
78160;Brian;M;8082
47781;Connor;M;8081
17699;Isaiah;M;8027
47782;Luke;M;8004
78161;Eric;M;7926
173051;Charles;M;7926
109070;Mason;M;7895
78162;Mason;M;7878
109071;Juan;M;7827
140649;Kyle;M;7821
78163;Juan;M;7817
173052;Aaron;M;7800
109072;Eric;M;7785
47783;Adam;M;7750
78164;Adam;M;7749
17700;Juan;M;7708
109073;Charles;M;7693
109074;Adam;M;7683
109075;Brian;M;7668
17701;Luis;M;7657
140650;Charles;M;7649
109076;Luis;M;7580
173053;Lucas;M;7573
17702;Connor;M;7528
17703;Charles;M;7524
140651;Luis;M;7492
47784;Luis;M;7487
140652;Adam;M;7471
17704;Elijah;M;7469
173054;Luis;M;7461
47785;Juan;M;7446
47786;Mason;M;7446
17705;Isaac;M;7430
78165;Evan;M;7385
78166;Luis;M;7377
17706;Steven;M;7355
17707;Evan;M;7330
140653;Brian;M;7328
17708;Jared;M;7323
17709;Sean;M;7316
47787;Charles;M;7282
17710;Timothy;M;7259
47788;Evan;M;7258
47789;Sean;M;7221
78167;Charles;M;7206
173055;Owen;M;7167
140654;Aiden;M;7158
17711;Luke;M;7145
17712;Cody;M;7133
140655;Eric;M;7132
173056;Landon;M;7106
109077;Sean;M;7101
78168;Sean;M;7029
47790;Angel;M;6975
78169;Aidan;M;6952
78170;Gavin;M;6950
173057;Diego;M;6937
140656;Jayden;M;6923
173058;Brian;M;6916
47791;Carlos;M;6841
173059;Adam;M;6838
47792;Jackson;M;6833
78171;Nathaniel;M;6809
140657;Alex;M;6808
78172;Alex;M;6806
17713;Nathaniel;M;6798
109078;Alex;M;6791
140658;Sean;M;6769
17714;Alex;M;6745
140659;Bryan;M;6730
173060;Adrian;M;6718
17715;Seth;M;6716
140660;Lucas;M;6711
140661;Owen;M;6705
173061;Eric;M;6695
173062;Ian;M;6684
173063;Kyle;M;6683
173064;Nathaniel;M;6679
140662;Nathaniel;M;6667
109079;Nathaniel;M;6665
47793;Nathaniel;M;6643
109080;Bryan;M;6617
78173;Bryan;M;6614
47794;Alex;M;6613
47795;Steven;M;6587
78174;Carlos;M;6586
47796;Cody;M;6573
173065;Carlos;M;6559
17716;Mason;M;6516
140663;Ian;M;6504
173066;Alex;M;6482
109081;Ian;M;6466
140664;Jesus;M;6465
173067;Bryan;M;6453
47797;Jared;M;6433
47798;Jesus;M;6424
47799;Timothy;M;6417
173068;Jesus;M;6375
78175;Jesus;M;6366
78176;Ian;M;6362
17717;Richard;M;6352
17718;Carlos;M;6315
17719;Angel;M;6304
17720;Patrick;M;6294
140665;Carlos;M;6254
47800;Seth;M;6222
78177;Steven;M;6216
109082;Carlos;M;6216
109083;Jesus;M;6159
17721;Devin;M;6153
17722;Bryan;M;6137
140666;Adrian;M;6136
47801;Bryan;M;6124
173069;Julian;M;6111
109084;Adrian;M;6110
47802;Ian;M;6082
47803;Devin;M;6038
78178;Cole;M;6035
78179;Timothy;M;6015
173070;Sean;M;5993
78180;Cody;M;5934
17723;Cole;M;5926
173071;Hayden;M;5916
17724;Jackson;M;5903
109085;Cole;M;5899
173072;Carter;M;5898
17725;Ian;M;5886
140667;Diego;M;5874
109086;Steven;M;5855
173073;Jeremiah;M;5841
17726;Garrett;M;5840
47804;Patrick;M;5786
47805;Richard;M;5768
109087;Lucas;M;5753
17727;Trevor;M;5744
47806;Cole;M;5740
78181;Seth;M;5737
109088;Owen;M;5699
109089;Aiden;M;5684
78182;Adrian;M;5680
17728;Jesus;M;5679
140668;Julian;M;5670
109090;Devin;M;5645
140669;Cole;M;5643
173074;Cole;M;5586
109091;Jayden;M;5544
173075;Brayden;M;5508
109092;Timothy;M;5479
17729;Chase;M;5440
78183;Devin;M;5437
140670;Ashton;M;5435
47807;Adrian;M;5424
109093;Julian;M;5407
109094;Cody;M;5396
47808;Trevor;M;5395
78184;Lucas;M;5379
140671;Jeremiah;M;5376
78185;Blake;M;5357
47809;Blake;M;5356
140672;Steven;M;5352
173076;Wyatt;M;5351
17730;Adrian;M;5338
78186;Richard;M;5317
109095;Blake;M;5274
47810;Gavin;M;5260
109096;Seth;M;5255
140673;Timothy;M;5228
17731;Mark;M;5224
78187;Julian;M;5223
109097;Dominic;M;5217
47811;Chase;M;5199
173077;Chase;M;5197
140674;Seth;M;5185
109098;Jaden;M;5182
140675;Devin;M;5162
140676;Chase;M;5160
78188;Patrick;M;5152
140677;Jaden;M;5148
17732;Blake;M;5142
78189;Sebastian;M;5136
140678;Cody;M;5124
140679;Colin;M;5122
109099;Diego;M;5118
109100;Hayden;M;5100
173078;Steven;M;5073
109101;Xavier;M;5063
47812;Garrett;M;5061
78190;Trevor;M;5060
109102;Richard;M;5053
140680;Landon;M;5037
17733;Sebastian;M;5027
173079;Timothy;M;5023
140681;Hayden;M;5019
109103;Chase;M;5013
140682;Xavier;M;5013
140683;Carter;M;5009
173080;Dominic;M;4989
47813;Sebastian;M;4977
140684;Wyatt;M;4972
173081;Sebastian;M;4952
47814;Julian;M;4941
47815;Lucas;M;4898
17734;Antonio;M;4888
140685;Dominic;M;4878
109104;Colin;M;4875
173082;Xavier;M;4874
109105;Carson;M;4860
78191;Chase;M;4858
78192;Dominic;M;4853
109106;Jeremiah;M;4850
173083;Jaden;M;4847
140686;Richard;M;4845
140687;Antonio;M;4837
78193;Jared;M;4835
17735;Lucas;M;4818
109107;Patrick;M;4789
140688;Jesse;M;4758
47816;Mark;M;4750
173084;Jesse;M;4744
17736;Jeremy;M;4737
47817;Antonio;M;4734
78194;Antonio;M;4724
109108;Antonio;M;4716
78195;Jeremiah;M;4715
173085;Devin;M;4712
173086;Seth;M;4710
140689;Blake;M;4692
173087;Antonio;M;4691
17737;Gavin;M;4685
173088;Miguel;M;4674
17738;Miguel;M;4670
173089;Richard;M;4665
78196;Jaden;M;4647
78197;Xavier;M;4647
109109;Sebastian;M;4646
78198;Miguel;M;4642
47818;Aidan;M;4632
109110;Jesse;M;4597
17739;Julian;M;4589
109111;Miguel;M;4588
47819;Miguel;M;4556
47820;Alejandro;M;4554
17740;Dakota;M;4553
173090;Colin;M;4531
173091;Cody;M;4526
140690;Miguel;M;4521
140691;Sebastian;M;4520
17741;Alejandro;M;4509
17742;Jesse;M;4481
173092;Alejandro;M;4478
140692;Jake;M;4470
140693;Alejandro;M;4450
17743;Dalton;M;4445
140694;Patrick;M;4440
173093;Caden;M;4438
109112;Victor;M;4434
78199;Jesse;M;4429
173094;Blake;M;4416
109113;Landon;M;4410
109114;Jake;M;4401
109115;Trevor;M;4385
140695;Carson;M;4379
173095;Kaden;M;4363
78200;Garrett;M;4356
78201;Alejandro;M;4354
173096;Carson;M;4353
17744;Bryce;M;4318
109116;Alejandro;M;4315
140696;Victor;M;4288
47821;Jeremy;M;4268
17745;Tanner;M;4234
78202;Mark;M;4221
47822;Jeremiah;M;4220
47823;Jesse;M;4219
109117;Ashton;M;4215
78203;Owen;M;4188
140697;Alexis;M;4175
173097;Henry;M;4173
109118;Carter;M;4171
78204;Jeremy;M;4164
140698;Caden;M;4156
173098;Jake;M;4152
47824;Bryce;M;4150
173099;Liam;M;4150
17746;Kenneth;M;4148
78205;Hayden;M;4141
173100;Victor;M;4137
140699;Kaden;M;4136
17747;Stephen;M;4132
109119;Bryce;M;4127
173101;Riley;M;4110
140700;Riley;M;4109
17748;Jake;M;4088
109120;Riley;M;4076
78206;Bryce;M;4067
140701;Brayden;M;4065
173102;Ashton;M;4063
17749;Victor;M;4051
17750;Spencer;M;4043
173103;Patrick;M;4042
109121;Mark;M;4027
140702;Bryce;M;4023
47825;Dakota;M;3979
47826;Xavier;M;3979
78207;Diego;M;3977
109122;Garrett;M;3977
78208;Riley;M;3959
109123;Jared;M;3942
47827;Carson;M;3941
78209;Victor;M;3931
47828;Victor;M;3918
140703;Henry;M;3908
47829;Kenneth;M;3907
173104;Bryce;M;3903
140704;Trevor;M;3896
47830;Dalton;M;3895
109124;Jeremy;M;3889
140705;Jeremy;M;3862
47831;Colby;M;3859
78210;Jayden;M;3853
47832;Jake;M;3837
47833;Tanner;M;3832
140706;Liam;M;3827
17751;Marcus;M;3795
17752;Paul;M;3790
78211;Jake;M;3790
173105;Brady;M;3781
140707;Mark;M;3768
173106;Vincent;M;3744
47834;Stephen;M;3736
47835;Spencer;M;3730
78212;Tristan;M;3724
109125;Wyatt;M;3699
47836;Marcus;M;3694
140708;Garrett;M;3689
173107;Trevor;M;3680
109126;Brayden;M;3672
78213;Kenneth;M;3663
17753;Brendan;M;3656
47837;Riley;M;3650
17754;Jeremiah;M;3642
109127;Kenneth;M;3641
17755;Xavier;M;3639
47838;Dominic;M;3634
109128;Tristan;M;3634
109129;Caden;M;3629
47839;Wyatt;M;3600
78214;Carson;M;3598
173108;Tristan;M;3590
47840;Tristan;M;3575
109130;Liam;M;3565
17756;Jeffrey;M;3563
78215;Marcus;M;3542
17757;Tristan;M;3530
173109;Mark;M;3527
17758;Jalen;M;3513
47841;Paul;M;3510
17759;Jorge;M;3495
78216;Dakota;M;3484
109131;Jorge;M;3483
173110;Jeremy;M;3483
17760;Edward;M;3480
78217;Carter;M;3480
140709;Tristan;M;3478
140710;Marcus;M;3474
173111;Marcus;M;3469
109132;Henry;M;3465
173112;Oscar;M;3459
78218;Jorge;M;3457
140711;Ivan;M;3457
78219;Spencer;M;3448
78220;Tanner;M;3446
78221;Kaleb;M;3445
47842;Jorge;M;3444
140712;Jorge;M;3440
173113;Jorge;M;3440
47843;Carter;M;3434
140713;Kenneth;M;3422
140714;Kaleb;M;3421
17761;Riley;M;3420
140715;Vincent;M;3419
109133;Vincent;M;3418
47844;Eduardo;M;3417
17762;Colton;M;3410
17763;Wyatt;M;3409
173114;Parker;M;3403
109134;Kaleb;M;3401
173115;Cooper;M;3392
109135;Marcus;M;3391
173116;Kaleb;M;3391
109136;Tanner;M;3390
78222;Liam;M;3381
17764;Joel;M;3378
47845;Edward;M;3372
140716;Brady;M;3368
173117;Kenneth;M;3368
17765;Maxwell;M;3364
47846;Jaden;M;3352
78223;Stephen;M;3347
140717;Oscar;M;3345
47847;Brendan;M;3343
109137;Kaden;M;3336
47848;Kaleb;M;3333
78224;Henry;M;3327
78225;Colin;M;3315
109138;Oscar;M;3299
17766;Aidan;M;3295
17767;Travis;M;3289
78226;Dalton;M;3282
17768;Shane;M;3273
173118;Joel;M;3271
47849;Hayden;M;3262
173119;Garrett;M;3262
78227;Paul;M;3258
173120;Josiah;M;3257
17769;Colin;M;3255
109139;Paul;M;3249
17770;Dominic;M;3245
47850;Colton;M;3245
109140;Joel;M;3244
78228;Edward;M;3240
17771;Carson;M;3239
173121;Ivan;M;3235
17772;Vincent;M;3233
78229;Oscar;M;3233
140718;Joel;M;3233
78230;Wyatt;M;3232
140719;Tanner;M;3230
17773;Derek;M;3212
47851;Jeffrey;M;3207
173122;Conner;M;3205
173123;Alan;M;3204
47852;Vincent;M;3201
140720;Eduardo;M;3201
47853;Henry;M;3192
47854;Oscar;M;3192
47855;Parker;M;3187
78231;Vincent;M;3186
109141;Parker;M;3185
78232;Joel;M;3184
47856;Maxwell;M;3183
140721;Paul;M;3181
17774;Oscar;M;3178
173124;Eduardo;M;3178
17775;Grant;M;3173
140722;Jared;M;3173
47857;Colin;M;3170
47858;Joel;M;3165
17776;Eduardo;M;3157
109142;Dakota;M;3156
140723;Edward;M;3147
17777;Peter;M;3146
173125;Paul;M;3142
78233;Brendan;M;3141
109143;Stephen;M;3141
109144;Ivan;M;3136
47859;Jalen;M;3120
78234;Colby;M;3118
109145;Eduardo;M;3118
17778;Henry;M;3117
47860;Shane;M;3116
109146;Edward;M;3108
140724;Collin;M;3107
17779;Parker;M;3100
78235;Parker;M;3097
109147;Alan;M;3096
109148;Maxwell;M;3086
47861;George;M;3085
78236;Grant;M;3076
173126;Tanner;M;3072
140725;Parker;M;3063
140726;Alan;M;3062
173127;Alexis;M;3049
78237;Colton;M;3047
173128;Braden;M;3046
140727;Cooper;M;3045
17780;Collin;M;3044
17781;Hayden;M;3044
17782;George;M;3037
78238;Maxwell;M;3036
47862;Owen;M;3031
78239;Shane;M;3029
47863;Liam;M;3027
78240;George;M;3016
17783;Bradley;M;3014
47864;Derek;M;3008
109149;Collin;M;3005
140728;Conner;M;3005
109150;Nicolas;M;3002
78241;Jeffrey;M;2999
17784;Mitchell;M;2984
17785;Devon;M;2972
173129;Edward;M;2970
173130;Omar;M;2966
173131;Nicolas;M;2962
78242;Eduardo;M;2957
109151;Colton;M;2951
140729;Colton;M;2951
47865;Peter;M;2947
47866;Travis;M;2942
109152;Gage;M;2938
140730;Maxwell;M;2927
47867;Grant;M;2922
173132;Jared;M;2922
17786;Ricardo;M;2917
109153;Grant;M;2916
140731;Dakota;M;2916
109154;George;M;2910
109155;Spencer;M;2906
47868;Collin;M;2898
17787;Shawn;M;2891
109156;Jeffrey;M;2883
140732;Nicolas;M;2871
78243;Peter;M;2866
109157;Brendan;M;2866
109158;Brady;M;2865
109159;Dalton;M;2857
47869;Francisco;M;2856
140733;Cristian;M;2855
17788;Taylor;M;2853
47870;Ricardo;M;2852
140734;Stephen;M;2848
17789;Nicolas;M;2846
173133;Peyton;M;2841
17790;Gregory;M;2836
17791;Francisco;M;2835
47871;Jayden;M;2833
47872;Diego;M;2832
78244;Aiden;M;2832
173134;George;M;2823
47873;Ivan;M;2822
47874;Nicolas;M;2822
140735;Grant;M;2815
109160;Shane;M;2812
78245;Ivan;M;2811
78246;Brayden;M;2809
78247;Nicolas;M;2809
173135;Maxwell;M;2809
109161;Cristian;M;2803
109162;Peter;M;2802
140736;Josiah;M;2793
140737;Peter;M;2787
78248;Derek;M;2786
17792;Liam;M;2780
140738;Ricardo;M;2780
47875;Alexis;M;2769
109163;Francisco;M;2767
109164;Ricardo;M;2762
47876;Gage;M;2759
109165;Derek;M;2753
140739;Gage;M;2752
78249;Gage;M;2746
17793;Kaleb;M;2745
173136;Levi;M;2744
17794;Preston;M;2743
173137;Cristian;M;2743
173138;Stephen;M;2741
173139;Francisco;M;2740
78250;Francisco;M;2739
140740;George;M;2735
173140;Collin;M;2731
47877;Bradley;M;2729
140741;Francisco;M;2727
173141;Preston;M;2727
78251;Landon;M;2723
140742;Omar;M;2723
17795;Erik;M;2722
47878;Devon;M;2722
47879;Omar;M;2722
140743;Jeffrey;M;2722
173142;Ayden;M;2722
109166;Alexis;M;2721
140744;Brendan;M;2719
173143;Dakota;M;2718
173144;Nolan;M;2717
17796;Alexis;M;2714
17797;Owen;M;2714
173145;Micah;M;2710
78252;Ricardo;M;2708
109167;Omar;M;2701
173146;Gage;M;2701
78253;Travis;M;2700
17798;Omar;M;2686
78254;Jalen;M;2686
78255;Cristian;M;2685
17799;Diego;M;2683
173147;Eli;M;2683
109168;Josiah;M;2682
109169;Conner;M;2677
140745;Spencer;M;2661
173148;Manuel;M;2661
78256;Brady;M;2659
173149;Grant;M;2658
173150;Colton;M;2657
78257;Collin;M;2655
140746;Preston;M;2645
78258;Bradley;M;2644
47880;Alan;M;2643
109170;Preston;M;2637
47881;Javier;M;2635
47882;Cristian;M;2630
47883;Shawn;M;2628
173151;Damian;M;2628
173152;Ricardo;M;2625
78259;Alan;M;2622
78260;Omar;M;2621
17800;Dustin;M;2620
109171;Jalen;M;2620
140747;Braden;M;2620
47884;Preston;M;2618
78261;Shawn;M;2616
17801;Corey;M;2608
17802;Fernando;M;2601
47885;Andres;M;2601
78262;Caden;M;2601
47886;Fernando;M;2600
173153;Giovanni;M;2599
140748;Levi;M;2594
140749;Fernando;M;2576
47887;Erik;M;2574
173154;Andres;M;2573
173155;Emmanuel;M;2573
109172;Shawn;M;2571
47888;Mitchell;M;2567
78263;Josiah;M;2567
17803;Clayton;M;2564
109173;Fernando;M;2551
173156;Peter;M;2551
17804;Carter;M;2550
109174;Erik;M;2550
173157;Malachi;M;2549
140750;Derek;M;2543
109175;Travis;M;2541
140751;Cesar;M;2536
140752;Javier;M;2534
17805;Ivan;M;2529
109176;Devon;M;2525
140753;Damian;M;2525
17806;Jaden;M;2520
140754;Eli;M;2519
173158;Cesar;M;2519
78264;Preston;M;2515
109177;Javier;M;2502
173159;Javier;M;2499
173160;Max;M;2493
17807;Javier;M;2491
140755;Nolan;M;2488
140756;Micah;M;2487
140757;Peyton;M;2483
140758;Max;M;2481
17808;Alec;M;2479
140759;Shane;M;2476
47889;Gregory;M;2474
17809;Johnathan;M;2468
78265;Erik;M;2460
109178;Max;M;2459
173161;Shane;M;2459
173162;Hector;M;2458
17810;Scott;M;2457
140760;Travis;M;2457
109179;Damian;M;2453
173163;Edgar;M;2452
140761;Dalton;M;2451
173164;Ty;M;2448
173165;Fernando;M;2439
78266;Andres;M;2438
78267;Javier;M;2435
109180;Jonah;M;2431
17811;Manuel;M;2426
173166;Jeffrey;M;2424
47890;Dustin;M;2423
78268;Fernando;M;2423
17812;Cristian;M;2422
173167;Derek;M;2418
17813;Alan;M;2413
140762;Manuel;M;2410
140763;Shawn;M;2408
173168;Bradley;M;2408
47891;Max;M;2403
17814;Raymond;M;2401
78269;Devon;M;2394
109181;Bradley;M;2392
140764;Andres;M;2392
140765;Edgar;M;2385
17815;Brett;M;2382
78270;Alexis;M;2379
47892;Edgar;M;2375
47893;Cesar;M;2374
109182;Cooper;M;2368
78271;Cesar;M;2366
173169;Shawn;M;2366
173170;Travis;M;2365
140766;Erik;M;2364
173171;Brendan;M;2360
109183;Mario;M;2358
109184;Cesar;M;2357
17816;Max;M;2355
109185;Braden;M;2354
17817;Andres;M;2353
140767;Edwin;M;2353
47894;Clayton;M;2351
17818;Gage;M;2348
109186;Levi;M;2346
140768;Emmanuel;M;2346
78272;Damian;M;2344
47895;Raymond;M;2334
17819;Mario;M;2333
109187;Andres;M;2327
140769;Devon;M;2327
78273;Manuel;M;2324
78274;Max;M;2319
109188;Edgar;M;2319
173172;Spencer;M;2314
17820;Dawson;M;2312
47896;Manuel;M;2312
78275;Jonah;M;2312
78276;Levi;M;2310
47897;Taylor;M;2309
140770;Bradley;M;2307
47898;Johnathan;M;2306
173173;Edwin;M;2303
173174;Mario;M;2298
47899;Scott;M;2296
140771;Jonah;M;2295
78277;Braden;M;2291
109189;Micah;M;2285
78278;Gregory;M;2277
17821;Dillon;M;2263
78279;Johnathan;M;2262
78280;Mario;M;2262
140772;Mario;M;2260
17822;Cesar;M;2259
173175;Dalton;M;2254
109190;Manuel;M;2246
173176;Erick;M;2243
47900;Corey;M;2242
140773;Malachi;M;2242
173177;Johnathan;M;2242
47901;Josiah;M;2235
78281;Nolan;M;2232
140774;Erick;M;2231
173178;Erik;M;2227
78282;Micah;M;2223
173179;Jonah;M;2222
78283;Kaden;M;2220
47902;Mario;M;2217
17823;Wesley;M;2216
109191;Nolan;M;2216
109192;Donovan;M;2210
109193;Giovanni;M;2199
140775;Ty;M;2198
78284;Edgar;M;2195
47903;Jakob;M;2192
109194;Johnathan;M;2192
17824;Levi;M;2189
140776;Ayden;M;2183
109195;Trenton;M;2181
173180;Donovan;M;2181
140777;Johnathan;M;2177
78285;Raymond;M;2176
47904;Levi;M;2174
78286;Mitchell;M;2172
109196;Colby;M;2170
109197;Edwin;M;2167
17825;Jakob;M;2161
78287;Clayton;M;2160
47905;Alec;M;2155
47906;Brady;M;2153
78288;Edwin;M;2145
173181;Leonardo;M;2144
47907;Dillon;M;2141
17826;Chandler;M;2131
109198;Emmanuel;M;2129
47908;Brayden;M;2128
109199;Clayton;M;2128
109200;Wesley;M;2122
78289;Trenton;M;2119
173182;Elias;M;2116
173183;Marco;M;2115
47909;Peyton;M;2114
47910;Micah;M;2112
173184;Wesley;M;2111
17827;Martin;M;2107
47911;Marco;M;2107
140778;Wesley;M;2106
78290;Corey;M;2105
109201;Gregory;M;2105
173185;Trenton;M;2102
109202;Erick;M;2094
173186;Devon;M;2094
47912;Nolan;M;2092
17828;Malik;M;2084
47913;Trenton;M;2082
17829;Edgar;M;2072
140779;Colby;M;2065
17830;Trenton;M;2063
17831;Sergio;M;2062
47914;Martin;M;2059
140780;Donovan;M;2054
140781;Trenton;M;2054
